age,gender,deaths_2019,nb_c,orphans
00-04,Female,3783,0,0
00-04,Male,4863,0,0
05-09,Female,367,0,0
05-09,Male,473,0,0
10-14,Female,472,0,0
10-14,Male,653,0,0
15-19,Female,904,0.2193959791480981,198
15-19,Male,2841,0.04458939022560946,127
20-24,Female,1139,0.7244593532514008,825
20-24,Male,4700,0.34510757109394696,1622
25-29,Female,1275,1.3038578626936455,1662
25-29,Male,4615,0.8870425204735671,4094
30-34,Female,1442,1.7391460815584348,2508
30-34,Male,4148,1.4946846921272832,6200
35-39,Female,1762,1.6798840589455504,2960
35-39,Male,3891,1.9567558776742553,7614
40-44,Female,2191,1.2606799808639737,2762
40-44,Male,3727,1.9315194507843148,7199
45-49,Female,2812,0.7681137216892596,2160
45-49,Male,4050,1.475966084969165,5978
50-54,Female,3853,0.37397432483318516,1441
50-54,Male,5535,0.9709950184771297,5374
55-59,Female,5300,0.11754542283621612,623
55-59,Male,7310,0.5683276569368559,4154
60-64,Female,6843,0.019000498772964218,130
60-64,Male,9596,0.3002451360377238,2881
65-69,Female,8288,0.0012630549753378706,10
65-69,Male,11365,0.16463568930011047,1871
70-74,Female,9692,0,0
70-74,Male,12797,0.0851764913699999,1090
75-79,Female,11944,0,0
75-79,Male,14295,0.05130422825769279,733
80-84,Female,14818,0,0
80-84,Male,15046,0.01600940918506631,241
85-89,Female,15122,0,0
85-89,Male,12647,0.005114493249354735,65
90-94,Female,10922,0,0
90-94,Male,7698,0.0018578535901654083,14
