age,gender,deaths_2018,nb_c,orphans
0-4,Female,645,0,0
0-4,Male,842,0,0
10-14,Female,113,0,0
10-14,Male,134,0,0
15-19,Female,174,0.012736738363357846,2
15-19,Male,422,0.0024401055656912284,1
20-24,Female,192,0.10231298743434514,20
20-24,Male,648,0.02998832980653651,19
25-29,Female,277,0.3648787263518077,101
25-29,Male,785,0.15423384042479024,121
30-34,Female,450,0.7975464394828247,359
30-34,Male,892,0.4428506410730524,395
35-39,Female,784,1.1402907627709205,894
35-39,Male,1337,0.7989994442405018,1068
40-44,Female,1512,1.1391230297090615,1722
40-44,Male,2240,1.006036667376996,2254
45-49,Female,2672,0.8172322305429519,2184
45-49,Male,4239,0.9156649750667695,3882
5-9,Female,76,0,0
5-9,Male,122,0,0
50-54,Female,4581,0.3626174582332182,1661
50-54,Male,7017,0.5787892524214694,4061
55-59,Female,6172,0.0835407820931367,516
55-59,Male,10263,0.24925598998257295,2558
60-64,Female,8605,0.008348440150655532,72
60-64,Male,14535,0.08000662957351085,1163
65-69,Female,12764,2.5506677664720106e-4,3
65-69,Male,21312,0.022111149013349214,471
70-74,Female,19065,0,0
70-74,Male,30522,0.005044692276100613,154
75-79,Female,31875,0,0
75-79,Male,43604,7.931978631075489e-4,35
80-84,Female,52857,0,0
80-84,Male,55983,2.7753793994846277e-4,16
85-89,Female,76568,0,0
85-89,Male,58609,2.612817823129948e-4,15
90-94,Female,72742,0,0
90-94,Male,36679,2.612817823129948e-4,10
