age,gender,deaths_2018,pop,nb_c,orphans
00-04,Female,12296,5444,0,0
00-04,Male,15302,5694,0,0
05-09,Female,1120,5461,0,0
05-09,Male,1295,5716,0,0
10-14,Female,1305,5485,0,0
10-14,Male,1790,5713,0,0
15-19,Female,2409,5506,0.16475354417033877,397
15-19,Male,6574,5650,0.06555578084725713,431
20-24,Female,3104,5457,0.6248376302561335,1939
20-24,Male,11305,5512,0.36637499926599587,4142
25-29,Female,3615,5307,1.2220339955011037,4418
25-29,Male,12928,5198,0.866561563897096,11203
30-34,Female,4128,4925,1.728926070823506,7137
30-34,Male,12768,4589,1.3901652449191968,17750
35-39,Female,5304,4661,1.786889018964082,9478
35-39,Male,14188,4240,1.6736484923620956,23746
40-44,Female,7596,4433,1.3529312615269133,10277
40-44,Male,16851,3981,1.4861808174680657,25044
45-49,Female,10547,4068,0.8097044851136844,8540
45-49,Male,19718,3630,1.0503256196638544,20710
50-54,Female,14493,3484,0.3611765712415339,5235
50-54,Male,23206,3086,0.6021578635281697,13974
55-59,Female,19294,2894,0.10364425059937755,2000
55-59,Male,27871,2578,0.3006340830001917,8379
60-64,Female,23839,2331,0.01841029790483517,439
60-64,Male,31552,2032,0.14285127995384045,4507
65-69,Female,26505,1754,0.0014725579199907851,39
65-69,Male,33367,1515,0.07349809048228029,2452
70-74,Female,29790,1233,0,0
70-74,Male,35722,1049,0.04203162436951133,1501
75-79,Female,33974,879,0,0
75-79,Male,37082,721,0.012980803842586925,481
80-84,Female,37484,573,0,0
80-84,Male,36470,432,0.007301512125917527,266
85-89,Female,35650,351,0,0
85-89,Male,29780,242,0.006960520808374753,207
90-94,Female,24563,164,0,0
90-94,Male,17547,106,0.006960520808374753,122
